########################################################################################
Starting Measurement Run at 08/10/2020 16:58:21
CSV file: pcb-full.csv
PARTNAME;NETNAME;PAD-ID;PAD-NAME;TRANSFORMED-X;TRANSFORMED-Y;MEASUREMENT-RESULT
BETA;BETA_TCK;0;1;51.5563;80.5129;277 2B5 1ED 1E5 10D 084
BETA;BETA_TCK;0;1;51.5563;80.5129;276 2B4 1EB 1E2 0EB 061
BETA;BETA_TCK;0;1;51.5563;80.5129;276 2B5 1EA 1E6 0F9 077
BETA;BETA_TMS;1;2;55.9503;80.6043;273 2B4 1E8 1E4 0F8 069
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B5 1EF 1E6 0E9 065
BETA;BETA_TMS;1;2;55.9503;80.6043;278 2B4 1EC 1E7 101 069
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B4 1EB 1E7 0F4 086
BETA;BETA_TMS;1;2;55.9503;80.6043;278 2B5 1ED 1E5 0F5 05C
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B4 1EC 1E7 0FB 05E
BETA;BETA_TMS;1;2;55.9503;80.6043;278 2B4 1EA 1E1 0EA 078
BETA;BETA_TMS;1;2;55.9503;80.6043;279 2B4 1E9 1E5 0F2 054
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B4 1EC 1E7 107 07F
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B4 1EC 1E9 11A 07E
BETA;BETA_TMS;1;2;55.9503;80.6043;278 2B4 1EC 1EA 0E8 065
BETA;BETA_TMS;1;2;55.9503;80.6043;278 2B4 1EA 1E8 0F7 05E
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B5 1ED 1ED 0EA 055
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B5 1EB 1E6 0E6 04A
BETA;BETA_TMS;1;2;55.9503;80.6043;277 2B4 1EE 1E7 102 072
BETA;BETA_TMS;1;2;55.9503;80.6043;278 2B4 1EE 1E6 0ED 085
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B4 1ED 1E8 102 06D
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B5 1ED 1E8 0FF 072
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B4 1EC 1E6 102 07F
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B5 1EB 1EA 101 071
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B4 1E9 1E5 100 070
BETA;BETA_TDO;2;3;51.5752;79.7132;276 2B4 1EB 1E6 0FE 04D
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B4 1ED 1E8 0ED 06B
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B4 1EC 1E8 10F 061
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B4 1EB 1DC 0EA 074
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B3 1ED 1E6 0FD 050
BETA;BETA_TDO;2;3;51.5752;79.7132;276 2B5 1ED 1EA 106 070
BETA;BETA_TDO;2;3;51.5752;79.7132;278 2B4 1EC 1E7 105 062
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B4 1EC 1E1 101 064
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B4 1EA 1E8 0ED 068
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B4 1EF 1E8 0DF 07B
BETA;BETA_TDO;2;3;51.5752;79.7132;277 2B4 1EE 1E4 0FE 04B
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1EB 1E2 101 074
BETA;BETA_TDI;3;4;55.9691;79.8046;278 2B4 1F2 1E6 0EB 06E
BETA;BETA_TDI;3;4;55.9691;79.8046;278 2B4 1EC 1E8 0F1 05F
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B5 1EE 1E8 0E0 058
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B5 1EB 1E7 0F2 070
BETA;BETA_TDI;3;4;55.9691;79.8046;278 2B4 1EF 1E8 0EC 096
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1ED 1EB 0FA 05B
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1ED 1E6 106 081
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1ED 1E7 0F3 081
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B5 1ED 1E5 10C 074
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1ED 1E8 0DC 061
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1E4 1E7 0DB 086
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B5 1EC 1E8 104 080
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1EA 1E3 0EF 056
BETA;BETA_TDI;3;4;55.9691;79.8046;278 2B4 1EB 1E9 0F3 07F
BETA;BETA_TDI;3;4;55.9691;79.8046;277 2B4 1ED 1E7 0ED 076
BETA;;4;5;51.594;78.9135;278 2B5 1ED 1EF 0ED 076
BETA;;4;5;51.594;78.9135;278 2B4 1E8 1E5 0E5 05E
BETA;;4;5;51.594;78.9135;278 2B4 1EA 1EB 0FE 058
BETA;;4;5;51.594;78.9135;277 2B4 1ED 1E8 0E9 055
BETA;;4;5;51.594;78.9135;278 2B4 1EB 1DD 0F6 07B
BETA;;4;5;51.594;78.9135;278 2B4 1EA 1EB 0F6 078
